evidence_id,claim_id,claim_text,source_type,source_title,source_url,publisher_or_org,publication_date,access_date,extract_or_paraphrase,confidence,confidence_rationale,verification_status,notes
E-001,C-001,Topic03 is scoped as alumina and aluminium value-chain analysis under the portfolio export-leverage lens,secondary,Landscape Briefing: Critical Raw Materials for Australia,content/topics/topic00_landscape-briefing/topic00_agent_writeup.qmd,Internal project synthesis,2026-02-14,2026-02-15,"The landscape ranking places green aluminium and high-purity alumina in the core opportunity set, supporting Topic03 prioritization.",medium,Scope framing is internally consistent but requires external primary corroboration for market and pathway claims,verified,Seed evidence row for planning baseline
E-002,C-001,Market pull and concentration dynamics are materially shaped by strong demand growth and concentrated primary aluminium production,primary,Tracking Industry 2023 - Aluminium,content/topics/topic03_alumina-aluminium/refs-sources/IEA_TRACKING_ALUMINIUM_2023.html,International Energy Agency,2023,2026-02-15,IEA states global aluminium demand rose by nearly 3% in 2022 and China accounted for around 60% of global primary production in the same year.,medium,High-authority intergovernmental source with clear directional signals but limited disaggregated regional demand splits in-page,verified,Use for T1 framing of market pull and concentration
E-003,C-002,Electricity cost and electricity carbon intensity are first-order competitiveness drivers for low-carbon aluminium pathways,primary,Energy and GHG Emissions from Integrated Production of Primary Aluminium,content/topics/topic03_alumina-aluminium/refs-sources/IEA_INTEGRATED_ALUMINIUM_2023.html,International Energy Agency,2023,2026-02-15,IEA reports that electricity contributes around 60% of aluminium production costs and that lower-carbon electricity options can significantly reduce lifecycle emissions.,high,Direct primary statement on pathway economics and emissions sensitivity,verified,Core evidence for T2 competitiveness logic
E-004,C-002,Recent global intensity trends show decarbonization progress is possible at scale but not yet complete,primary,Global Primary Aluminium Production and GHG Emissions Intensity Results for Year End 2024,content/topics/topic03_alumina-aluminium/refs-sources/IAI_2024_PRODUCTION_AND_EMISSIONS.html,International Aluminium Institute,2025-04-16,2026-02-15,IAI reports 2024 global primary aluminium production of 72.7 million metric tonnes and a 4.2% decline in emissions intensity relative to 2019.,medium,Industry primary source with explicit quantified trend but without full methodology details on the page,verified,Supports trend evidence for T2 decarbonization pathways; Original URL replaced by live IAI article slug after 404 on 2026-02-15.
E-005,C-003,Processing pathway choices materially change emissions outcomes and deployment constraints,primary,Tracking Industry 2023 - Aluminium,content/topics/topic03_alumina-aluminium/refs-sources/IEA_TRACKING_ALUMINIUM_2023.html,International Energy Agency,2023,2026-02-15,IEA notes inert anode technology can cut direct process emissions by around 15% at cell level and that deployment depends on availability of clean electricity.,medium,Claim is directly supported for emissions impact while commercial deployment data remains incomplete,verified,Use in T2 pathway-differentiation section
E-006,C-004,Australia has an integrated alumina-aluminium production base with strong export orientation that depends on infrastructure reliability,primary,Aluminium Fast Facts,content/topics/topic03_alumina-aluminium/refs-sources/AAC_FAST_FACTS.html,Australian Aluminium Council,2024,2026-02-15,"Australian Aluminium Council reports six bauxite mines, six alumina refineries, and four aluminium smelters; approximately 90% of alumina and 86% of bauxite production are exported.",medium,Industry source provides clear structural baseline but needs triangulation with government trade datasets,verified,Supports T1/T2 linkage between domestic capability and export channel dependence
E-007,C-005,Policy design is now materially shaping project economics and timing for low-carbon aluminium pathways in Australia,primary,Building a Future Made in Australia - sustainable future for made in australia,content/topics/topic03_alumina-aluminium/refs-sources/AU_BUDGET_GREEN_ALUMINIUM_2024.pdf,Australian Government (Treasury),2024-05-14,2026-02-15,Budget Paper No. 2 announces a Green Aluminium Production Credit worth 10% of eligible costs over 2028-29 to 2035-36 and references up to $2 billion in support for Australian-made aluminium.,high,Direct primary policy instrument details with explicit value and timing windows,verified,Primary evidence for T5 financing and policy levers
E-008,C-006,Carbon-border policy timelines create near-term compliance uncertainty for export pathways,primary,Carbon Border Adjustment Mechanism,content/topics/topic03_alumina-aluminium/refs-sources/EU_CBAM.html,European Commission,2026,2026-02-15,European Commission states the CBAM transitional period runs from 1 October 2023 to 31 December 2025 and the definitive system starts on 1 January 2026; aluminium is listed as an in-scope sector.,high,Primary regulatory source with explicit dates and sector coverage,verified,Use in T5 and T6 for policy-driven market access uncertainty
E-009,C-007,Large-scale bauxite-residue utilization has historically remained limited despite extensive literature and patent activity,secondary,Review of Bauxite Residue Re-use Options (DMR-3609),content/topics/topic03_alumina-aluminium/refs-sources/CSIRO_BR_REUSE_REVIEW_2009.pdf,CSIRO (for Australian DRET),2009-05,2026-02-15,The review states that despite over 50 years of research and hundreds of publications and patents there is little evidence of significant utilization and no major utilization industry had emerged.,medium,Directly supported by an authoritative synthesis report but dated (2009) and requires current-market corroboration,verified,Executive summary and Section 2 discussion (PDF pages 6 and 24)
E-010,C-008,Bauxite-residue strategy must handle both very large inventories and local site-specific management constraints,secondary,Review of Bauxite Residue Re-use Options (DMR-3609),content/topics/topic03_alumina-aluminium/refs-sources/CSIRO_BR_REUSE_REVIEW_2009.pdf,CSIRO (for Australian DRET),2009-05,2026-02-15,The report estimates over 2.7 billion tonnes stored on land with annual growth over 120 million tonnes and emphasizes residue is managed locally by geography jurisdiction and operator.,medium,Quantitative values are clearly reported but represent 2009-era estimates that need refresh for current decision use,verified,Executive summary and Trends section (PDF pages 6 and 56-57)
E-011,C-009,The review provides a decision framework of three value opportunities and nine KPAs for prioritizing residue-use pathways,secondary,Review of Bauxite Residue Re-use Options (DMR-3609),content/topics/topic03_alumina-aluminium/refs-sources/CSIRO_BR_REUSE_REVIEW_2009.pdf,CSIRO (for Australian DRET),2009-05,2026-02-15,"Framework categories are: construction and chemical, environmental and agronomic, and metallurgical; each is split into three KPAs for project prioritization.",medium,Structuring framework is explicit and still useful for classification though not a substitute for current techno-economic analysis,verified,Executive summary and Figure 7 discussion (PDF pages 8 and 27)
E-012,C-010,Priority research gaps include residue speciation storage economics geopolymers high-volume construction pathways major-metal recovery economics and site-level residue databases,secondary,Review of Bauxite Residue Re-use Options (DMR-3609),content/topics/topic03_alumina-aluminium/refs-sources/CSIRO_BR_REUSE_REVIEW_2009.pdf,CSIRO (for Australian DRET),2009-05,2026-02-15,The report tabulates targeted research projects including detailed speciation studies cost analysis of storage liabilities geopolymer process development high-volume civil-use studies major-metal recovery feasibility and refinery-level tracking databases.,high,Research-priority table is explicit and internally coherent with associated knowledge gaps,verified,Research priorities table (PDF pages 9 and 58-59)
E-013,C-011,Implementation support requires standards market-development and policy incentives in addition to technical R&D,secondary,Review of Bauxite Residue Re-use Options (DMR-3609),content/topics/topic03_alumina-aluminium/refs-sources/CSIRO_BR_REUSE_REVIEW_2009.pdf,CSIRO (for Australian DRET),2009-05,2026-02-15,Support priorities include product substitution evaluation techno-economic and risk analysis standards and regulation development market development and targeted incentives plus a dedicated review of steelmaking additive deployment.,high,Explicit implementation-support recommendations with clear non-technical requirements,verified,Implementation support priorities table (PDF pages 10 and 59)
E-014,C-012,Global aluminium demand is expected to increase strongly toward 2050 while recycled supply alone cannot meet total demand growth,primary,240712-Aluminium-Response-Green-Metals,content/topics/topic03_alumina-aluminium/refs-sources/AAC_GREEN_METALS_RESPONSE_2024.pdf,Australian Aluminium Council,2024-07-12,2026-02-15,The submission states global aluminium demand could nearly double by 2050 and argues that higher recycling rates will still require increased primary aluminium production.,medium,Direct statement in the submission with cited external sources and useful directional value but based on an advocacy document,verified,See PDF pages 1 and 3
E-015,C-013,Australian aluminium value chains are export-oriented and exposed to concentrated external market structures,primary,240712-Aluminium-Response-Green-Metals,content/topics/topic03_alumina-aluminium/refs-sources/AAC_GREEN_METALS_RESPONSE_2024.pdf,Australian Aluminium Council,2024-07-12,2026-02-15,The submission reports high export shares for alumina and aluminium and highlights concentration in global upstream and downstream production including high China shares.,medium,Quantitative framing is specific but should be triangulated with independent government trade and industry datasets,verified,See PDF pages 4 to 5
E-016,C-014,The dominant near-term decarbonisation constraint is access to reliable firm low-emissions electricity at internationally competitive delivered cost,primary,240712-Aluminium-Response-Green-Metals,content/topics/topic03_alumina-aluminium/refs-sources/AAC_GREEN_METALS_RESPONSE_2024.pdf,Australian Aluminium Council,2024-07-12,2026-02-15,The submission identifies internationally competitive firm low-emissions electricity and transmission delivery as the single biggest enabler for refining and smelting transition decisions.,high,Claim is explicit and repeated throughout the submission and consistent with other pathway evidence,verified,See PDF pages 2 and 15 to 16
E-017,C-015,Some key decarbonisation technologies are not expected to be available for wide commercial deployment until around 2030 or later,primary,240712-Aluminium-Response-Green-Metals,content/topics/topic03_alumina-aluminium/refs-sources/AAC_GREEN_METALS_RESPONSE_2024.pdf,Australian Aluminium Council,2024-07-12,2026-02-15,The submission states that global inert-anode rollout is expected post-2030 and that key alumina-abatement technologies are expected around 2030 or later.,medium,Timeframe is plausible and linked to cited roadmaps but remains forecast-dependent and technology-specific,verified,See PDF pages 9 and 13 to 15
E-018,C-016,Current low-carbon aluminium premiums are small relative to commodity price variability and are insufficient as a sole decarbonisation investment signal,primary,240712-Aluminium-Response-Green-Metals,content/topics/topic03_alumina-aluminium/refs-sources/AAC_GREEN_METALS_RESPONSE_2024.pdf,Australian Aluminium Council,2024-07-12,2026-02-15,The submission notes indicative green premiums in the tens of dollars per tonne range while commodity prices move in far larger ranges and argues premiums do not yet offset higher transition costs.,medium,Useful market signal evidence but partly based on industry observations and should be triangulated with independent transaction datasets,verified,See PDF pages 7 and 16 to 17
E-019,C-017,Policy support proposed by industry combines production credits transformational infrastructure funding and streamlined approvals,primary,240712-Aluminium-Response-Green-Metals,content/topics/topic03_alumina-aluminium/refs-sources/AAC_GREEN_METALS_RESPONSE_2024.pdf,Australian Aluminium Council,2024-07-12,2026-02-15,The submission requests production credits plus large-scale co-funded infrastructure and technology investment and approval streamlining to attract transition capital.,high,Explicit policy package is clearly stated and tied to identified barriers,verified,See PDF pages 2 and 20 to 22
E-020,C-018,The submission frames transition-capital needs as very large with an indicative global aluminium transition requirement of around US$1 trillion and an implied Australian share near US$30 billion,primary,240712-Aluminium-Response-Green-Metals,content/topics/topic03_alumina-aluminium/refs-sources/AAC_GREEN_METALS_RESPONSE_2024.pdf,Australian Aluminium Council,2024-07-12,2026-02-15,The submission cites a mission-based transition estimate for global aluminium and scales this by Australia's industry share to indicate substantial domestic capital requirements.,medium,Magnitude framing is useful for planning but depends on methodological assumptions in the referenced global study,verified,See PDF pages 11 and 23
