source_path,bytes,sha256
Literature-Review/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3
Literature-Review/00_overview.md,8940,3db8bc72caecdca227563d4a03b1c0a456e99f9671618864eaebbc4cb4541cd4
Literature-Review/01_T1_demand-and-value-chain.md,4335,57e1e14fb9f946a6fa4b8f305c24151084772ba5c3e3c96c783477aedd38f7d3
Literature-Review/02_T2_processing-pathways.md,15321,bc7a8a13b646ab7b83cf0f64a8c980ce23a07cb06bde6f136858bd22f141858d
Literature-Review/03_T3_science-101.md,16682,5fc1e202f08302bf74beb81edcb2ec8ad0ba8b94273c8b5f552f114d8046ccbf
Literature-Review/04_T4_research-and-collaboration-landscape.md,7836,cb9c96d3e447ef4109bba72724c107f4a907f2420bc66f85d987f6d1b3357ca7
Literature-Review/05_T5_policy-funding-programs.md,1915,ffd887bfc9adabe00839015645c196e13e275e51c1b286e54c748e79173584d0
Literature-Review/06_T6_evidence-quality-gaps-confidence.md,3276,239ff5b0ec56c30980504f1f2b7ea4b6add7733d2905b0a163d7b63987bb2cb5
Literature-Review/90_references-and-appendices.md,11036,4e5ef5302816550157a62c9b86e524ee6d3ef95ffeb77e2331bd512a7406fec2
Literature-Review/AEMO and Oxford Economics - 2025 - Australia Data Centre Energy Consumption Report.pdf,1456524,ce1fdf34b28cb89f804d97b9dbb0d2b72df488f3905319f263500c82dd022820
Literature-Review/DISR - 2025 - Resources and Energy Quarterly December 2025.pdf,4823991,0efa28b5b6733bf006742885575ecccca2ec3c31ff9fbaf7353904284f18db73
Literature-Review/Dong et al. - 2020 - Comprehensive Recoveries of Selenium Copper Gold Silver and Lead from a Copper Anode Slime with a Clean and Economical Hydrometallurgical Process.pdf,9686633,231dbe57df8384aeef731d6946d4bf9c5a42267db609489f1589db34751c1e57
Literature-Review/EU Publications Office - 2024 - Critical Raw Materials Act.pdf,2291732,eb89f374a725ebde267c90f237898cd1d0bdfa65a1d4a118511e225bde60283e
Literature-Review/Fastmarkets - 2024 - Copper Cathode Premium Methodology and Price Specifications.pdf,129309,14b0595fb4be121fd94d53c5fbb2cc0ad4f323a39f70a9b4f97e3bff1cd4871b
Literature-Review/Fastmarkets - 2025 - Copper Concentrates Index Methodology and Price Specifications.pdf,139094,cbf9ca7e7f983e2b81648a147c0c7f955aca4e30bba002329c06a26e45e9c083
Literature-Review/Jadoun et al. - 2025 - Recovery of Metals from E-waste Facts Methods Challenges Case Studies and Sustainable Solutions.pdf,6546256,84a5112130f97f230a8e8461bd07768873a83970cece5412a0d288622515d4ae
Literature-Review/Lane et al. - 2016 - Selective Leaching of Penalty Elements from Copper Concentrates A Review.pdf,730850,96312a56b3c79424fe0789fb8f85677cc06aaef545f9cbcb34501f3ef6f597a1
Literature-Review/S&P Global - 2026 - Copper in the Age of AI Challenges of Electrification.pdf,3994714,f4cb2245a0334c27c9c986fa6bb50790493f14c5ab054beab5dc565f2ca05fa9
Literature-Review/S&P Global - 2026 - The Copper Conundrum Why Meeting AI-Era Electrification Demands Is a Race Against Time.pdf,782211,6b36443af570dd8ff918d4d1b67bff57480856c5d4c89859fc1b506993d4318f
Literature-Review/TOPIC_INDEX_AND_CROSSWALK.md,5468,2edb07a3e796fd1795dc6f8df13bf11e2a2c7b8df9aad05f56908d96698a3173
Literature-Review/Torrubia et al. - 2024 - Recovery of Copper from Electronic Waste An Energy Transition Approach to Decarbonise the Industry.pdf,4553869,1dd9f2f2a5eef7daea839eccc20503ae9774e5aa4c40bf2a7b780bf576f84ef0
Literature-Review/USGS - 2026 - Mineral Commodity Summaries.pdf,17029156,a6acec12db9aba8022d38f80902bb6e4024693f7c9668f1ffd758dc3bd42d075
Literature-Review/WORKING_NOTE.md,57506,7b48b8fcf32e3e3e37fa121e57279fce07081d1d2c19a7864602a815cf377f08
Literature-Review/WRITEUP.md,68603,0019916794ec0a8e8f5deba4a203e7812d38bc5dc3b44cb041a2f0b6824c3adf
Literature-Review/WRITEUP.pdf,629581,3ab080bf0c721c194e3d97395725343766c1af93627102bf2ec4cfdf93d18285
Literature-Review/Wood Mackenzie - 2025 - High-wire Act Is Soaring Copper Demand an Obstacle to Future Growth.pdf,2751380,87e752063285cfd4ea027f2af07232d3e6e5227236a965510dc4b5b9315fa288
Literature-Review/Wu et al. - 2025 - Scaling Bioleaching from Lab to Industry A Life Cycle Assessment of Cathode Copper Production.pdf,3908903,51276f066d211cc1ebdb955ecb236e09913fad2f58ddb042b8c5fb2a924ecec5
Literature-Review/Yang et al. - 2024 - Towards Resource Regeneration A Focus on Copper Recovery from Electronic Waste.pdf,11825105,03d81156783f8deed7d963baf40070dc340013e9b4eb69b44d4e242c06566fe5
Literature-Review/au_copper_value_chain_collaboration_register.csv,8845,5ba157c34856de02727c1430c833a38cf04ba4a00b96cdb9348510c18cd14eb7
Literature-Review/notes.md,39043,f42594530d4a2d7176f42d218f7b1411994a49af6907f5986e7e334e0daf63b5
Literature-Review/quantitative_claim_audit.csv,5816,9d07b8d9e1b1229cc3a20b0e45f09f011e75862489f487e86dda5db39a80e93f
Literature-Review/quantitative_claim_audit.md,3449,8bba5fcf908f8d8eb30b1205627d0f43fae823756c0ee9e2445131e93ff17dee
