source_key,title,year,type,path,status,subtopic,notes
australia_s_critical_minerals_strategy_2023_2030_2023,Australia's Critical Minerals Strategy 2023-2030,2023,government strategy,content/topics/topic00_landscape-briefing/refs-sources/australia_s_critical_minerals_strategy_2023_2030_2023.html,downloaded_html,core,Downloaded HTML snapshot from canonical publication page
critical_minerals_2025,Critical minerals,2025,government agency page,content/topics/topic00_landscape-briefing/refs-sources/critical_minerals_2025.html,downloaded_html,core,Downloaded HTML snapshot from GA page
australian_critical_minerals_map_2024_2024,Australian Critical Minerals Map 2024,2024,government geospatial dataset,content/topics/topic00_landscape-briefing/refs-sources/australian_critical_minerals_map_2024_2024.html,downloaded_html,core,Downloaded HTML record page snapshot
publications_and_portals_2025,Publications and portals,2025,government agency page,content/topics/topic00_landscape-briefing/refs-sources/publications_and_portals_2025.html,downloaded_html,core,Downloaded HTML snapshot
mineral_potential_mapping_eftf_2024,Mineral Potential Mapping | EFTF,2024,government program page,,unresolved,core,Automated retrieval blocked by Cloudflare challenge (retried 2026-02-15); keep unresolved until manual capture (not a closeout blocker).
critical_minerals_mapping_initiative_database_updated_to_over_25000_samples_2024,Critical Minerals Mapping Initiative database updated to over 25000 samples,2024,government agency news,content/topics/topic00_landscape-briefing/refs-sources/critical_minerals_mapping_initiative_database_updated_to_over_25000_samples_2024.html,downloaded_html,core,Downloaded HTML snapshot
mineral_commodity_summaries_2026,Mineral Commodity Summaries,2026,government agency publication,content/topics/topic00_landscape-briefing/refs-sources/mineral_commodity_summaries_2026.pdf,downloaded_pdf,core,Downloaded current MCS 2026 PDF from USGS publication asset
australian_critical_minerals_portal_undated,Australian Critical Minerals Portal,,government portal,content/topics/topic00_landscape-briefing/refs-sources/australian_critical_minerals_portal_undated.html,downloaded_html,core,Downloaded HTML snapshot from portal landing URL
critical_minerals_mapping_initiative_persona_undated,Critical Minerals Mapping Initiative persona,,government portal,content/topics/topic00_landscape-briefing/refs-sources/critical_minerals_mapping_initiative_persona_undated.html,downloaded_html,core,Downloaded HTML snapshot from persona URL
dong_et_al_2020_comprehensive_recoveries_from_copper_anode_slime_2020,Dong et al. 2020 Comprehensive Recoveries from Copper Anode Slime,2020,peer reviewed article,content/topics/topic00_landscape-briefing/refs-sources/dong_et_al_2020_comprehensive_recoveries_from_copper_anode_slime_2020.pdf,copied_local_pdf,core,Copied from existing local corpus into topic00 refs
resources_and_energy_quarterly_december_2025_2025,Resources and Energy Quarterly December 2025,2025,government publication,content/topics/topic00_landscape-briefing/refs-sources/resources_and_energy_quarterly_december_2025_2025.pdf,copied_local_pdf,core,Copied from existing local corpus into topic00 refs
australia_data_centre_energy_consumption_report_2025,Australia Data Centre Energy Consumption Report,2025,industry-economic report,content/topics/topic00_landscape-briefing/refs-sources/australia_data_centre_energy_consumption_report_2025.pdf,copied_local_pdf,core,Copied from existing local corpus into topic00 refs
landscape_framing_inputs_provided_by_project_sponsor_2026,Landscape framing inputs provided by project sponsor,2026,project input,content/topics/topic00_landscape-briefing/refs-sources/landscape_framing_inputs_provided_by_project_sponsor_2026.md,provided_local_note,core,Project sponsor framing consolidated into local note for traceability.
raabe_2023_the_materials_science_behind_sustainable_metals_and_alloys_pdf,The Materials Science behind Sustainable Metals and Alloys,2023,peer reviewed review,content/topics/topic00_landscape-briefing/refs-sources/raabe_2023_the_materials_science_behind_sustainable_metals_and_alloys_pdf.pdf,provided_local_pdf,core,User-provided source; page-anchored claims added to crm_evidence_register.csv (C-019 to C-026).
iea_iron_and_steel_technology_roadmap_2020,Iron and Steel Technology Roadmap,2020,intergovernmental report page,content/topics/topic00_landscape-briefing/refs-sources/iea_iron_and_steel_technology_roadmap_2020.html,copied_local_html,core,Copied from topic02 corpus to replace low-quality proxy evidence for C-016 with sector-primary roadmap evidence.
