ordinal_rank,topic_id,topic_name,likely_hub_region,operator_archetype,epc_archetype,offtaker_archetype,technology_licensor_archetype,financier_archetype,key_dependencies,why_here,confidence
1,CRM001,"Green iron exports (DRI, HBI, hot metal, ESF pathways)","Pilbara and Mid West WA","Integrated iron ore producers and green iron joint ventures","DRI-EAF plant integrators and heavy industrial EPC firms","Asian steel mills and global automotive steel buyers","Direct reduction technology licensors and digital plant OEMs","Export credit agencies, infrastructure funds, and superannuation-backed project finance","Firmed power, low-cost hydrogen, rail and port capacity, long-term offtake","Existing iron ore scale and export logistics create the strongest launch platform",high
2,CRM002,"Green aluminium (low-carbon alumina plus renewable-powered smelting, alloys)","Gladstone QLD, Kwinana WA, Bell Bay TAS","Alumina refiners, smelter operators, and alloy producers","Refinery and smelter EPC specialists","Global packaging, transport, and clean-energy manufacturers","Smelter technology licensors and process optimisation providers","Corporate balance sheets, green bonds, and policy-linked concessional finance","Competitive renewable power, transmission upgrades, and certified low-carbon credentials","Large existing alumina base and industrial ecosystems reduce execution risk",high
3,CRM003,"Copper upgrading (refining plus semi-fab: rod, wire, foil)","Mount Isa-Townsville QLD corridor and SA copper belt","Copper miners, refiners, and semi-fabricators","Smelter-refinery modernisation EPC and downstream fabrication EPC","Cable manufacturers, renewable equipment OEMs, and electronics buyers","Refining process licensors and rolling-drawing technology vendors","Project finance banks, strategic offtake-backed lenders, and industry co-investors","Concentrate and scrap feed security, energy reliability, and logistics integration","Strong resource base and existing metallurgical capability support near-term expansion",high
4,CRM004,"Rare earth separation to oxides (NdPr, Dy, Tb)","Kalgoorlie to Kwinana WA","Rare earth concentrate producers and separation operators","Hydromet processing EPC with specialty chemicals capability","Magnet alloy producers and clean-tech OEM supply chains","Separation chemistry and solvent extraction technology providers","Strategic government facilities, export finance, and private equity partners","Reagent supply, waste handling, and qualification with downstream customers","Australia already hosts strategic projects and can scale trusted separated oxide supply",high
5,CRM011,"Permanent magnets (NdFeB): metals, alloys, magnet manufacturing","Hunter NSW and Kwinana WA","Magnet manufacturers and advanced materials industrial partners","Precision manufacturing EPC and plant automation integrators","EV motor manufacturers, wind turbine OEMs, and defence primes","Powder metallurgy process licensors and magnet line equipment suppliers","Strategic industry funds, defence procurement pathways, and anchor offtake financing","Qualified feedstock, OEM co-development, and standards compliance","Captures the highest leverage step beyond separated rare earth oxides",medium
6,CRM012,"Battery-grade lithium chemicals (hydroxide, carbonate where viable)","Kwinana and Kemerton WA","Lithium converters and integrated spodumene-to-chemical operators","Chemical processing EPC and modular plant providers","Battery cathode producers and global cell manufacturers","Conversion process licensors and quality-control software providers","Corporate project finance, long-term offtake-linked debt, and strategic equity","Spodumene feed certainty, reagent chain security, and quality consistency","Strong upstream position and existing processing footprint support scaling",high
7,CRM008,"Silicon metal at scale (metallurgical silicon)","Gladstone QLD and Bell Bay TAS","Silicon smelter operators and integrated industrial producers","Furnace EPC, power systems EPC, and emissions-control integrators","Solar, alloy, and chemical intermediate buyers in Asia-Pacific","Furnace design licensors and process-control technology firms","Industrial infrastructure funds, strategic debt, and corporate co-investment","Low-cost reliable power, reductant supply, and export terminal access","High-value intermediate with multi-chain demand and strong industrial adjacency",medium
8,CRM010,"Graphite anode materials (purified spherical graphite, coated anode)","Kwinana WA and Townsville QLD","Graphite processors and anode active material producers","Chemical purification EPC and coated-material line integrators","Battery cell and anode manufacturers","Purification, coating, and particle-engineering technology providers","Strategic offtake-backed debt and development finance participation","Feedstock contracts, purification chemistry, and customer qualification","Positioned at a battery bottleneck with growing regional demand",medium
9,CRM006,"Fertilisers and ag-inputs (potash, phosphate, finished fertilisers; low-carbon ammonia integration)","Pilbara WA and Gladstone QLD","Fertiliser producers and integrated chemical platform operators","Ammonia-fertiliser complex EPC and terminal EPC","Agribusiness distributors and regional food-chain buyers","Ammonia and granulation process licensors","Trade finance, project debt, and strategic agribusiness partnerships","Ammonia integration, reagent platform, and export shipping access","Large regional demand and exportable chemistry platform potential",medium
10,CRM005,"Green chemical feedstocks at scale (ammonia, methanol)","Pilbara WA, Gladstone QLD, and Darwin NT","Chemical producers and energy-transition project developers","Hydrogen-ammonia-methanol EPC consortia","Shipping fuel buyers, power utilities, and industrial chemical offtakers","Synthesis loop licensors and terminal handling technology suppliers","Infrastructure debt, sovereign-linked funds, and long-term offtake finance","Renewable power, hydrogen economics, and export logistics","Anchor platform that supports both direct exports and domestic processing chains",medium
11,CRM009,"Manganese upgrading (battery and alloying chemicals, EMM and HPMSM pathways)","Pilbara WA and Darwin-NT corridor","Manganese producers and chemical converters","Hydromet and crystallisation EPC providers","Battery precursor buyers and steel alloy consumers","Chemical route licensors and quality analytics software providers","Strategic debt, equity partners, and policy-supported project finance","Feedstock quality, reagent supply, and stable power","Clear pathway from ore exports to higher-value chemical exports",medium
12,CRM035,"Antimony (oxide and metal refining)","North Queensland and Cobar NSW corridor","Minor-metals refiners and specialty smelter operators","Specialty refining EPC and environmental control integrators","Defence supply integrators and industrial chemical buyers","Refining flowsheet licensors and analytical QA providers","Strategic stockpile-linked finance and targeted co-investment","Secure feedstocks, permitting, and strict environmental compliance","Concentrated global supply creates disproportionate strategic leverage",medium
