evidence_id,claim_id,claim_text,source_type,source_title,source_url,publisher_or_org,publication_date,access_date,extract_or_paraphrase,confidence,confidence_rationale,verification_status,notes
E-001,C-001,Global steel demand pressure remains material with growth expected in several emerging regions even as China demand moderates,primary,Iron and steel,content/topics/topic02_iron-steel/refs-sources/IEA_IRON_AND_STEEL.html,International Energy Agency,undated,2026-02-15,IEA page framing indicates demand growth drivers remain tied to population and GDP expansion with regional demand shifts,medium,Direction is explicit on the page but detailed quantitative trajectories were not extracted in this pass,verified,Use for T1 demand context.
E-002,C-002,Route choice is the core decarbonisation lever for steel and requires coordinated technology-energy infrastructure buildout,primary,Iron and Steel Technology Roadmap,content/topics/topic02_iron-steel/refs-sources/IEA_IRON_AND_STEEL_TECHNOLOGY_ROADMAP_2020.html,International Energy Agency,2020,2026-02-15,IEA roadmap framing centers transition pathways and enabling-system requirements for low-emissions steel,medium,Roadmap is authoritative but this pass did not extract pathway-by-pathway cost and deployment tables,verified,Use for T2 pathway structure.
E-003,C-003,Australia's iron and steel opportunity is best framed as value-lift from ore exports toward higher-processed iron products under export and leverage constraints,secondary,Landscape Briefing: Critical Raw Materials for Australia,content/topics/topic00_landscape-briefing/topic00_agent_writeup.qmd,Internal project synthesis,2026-02-14,2026-02-15,Topic00 ranks green iron and related enablers in the core portfolio and prioritizes export leverage over domestic-only framing,medium,Internal synthesis is coherent with the project lens but still requires topic-specific quantitative validation,verified,Use for Topic02 scope lock.
E-004,C-004,Firm clean power reliability and cost are first-order constraints for near-term low-emissions iron and steel pathway competitiveness,secondary,Landscape Briefing: Critical Raw Materials for Australia,content/topics/topic00_landscape-briefing/topic00_agent_writeup.qmd,Internal project synthesis,2026-02-14,2026-02-15,Constraint layer in Topic00 repeatedly identifies firmed clean power as a gating dependency across heavy processing chains,medium,Constraint is consistently represented but not yet quantified for Topic02 hubs,verified,Use in T2 and T6.
E-005,C-005,Hydrogen and reagent availability should be treated as enabling dependencies rather than standalone export theses in Topic02 decisions,secondary,Landscape Briefing: Critical Raw Materials for Australia,content/topics/topic00_landscape-briefing/topic00_agent_writeup.qmd,Internal project synthesis,2026-02-14,2026-02-15,Topic00 method classifies hydrogen and reagent systems primarily as enablers that unlock anchor export chains,medium,Useful for decision structure; direct Topic02 project data still pending,verified,Use for dependency mapping.
E-006,C-006,"USGS MCS 2026 provides chapter-level steel and iron ore baselines (including 2025 world raw steel ~1,900 Mt and U.S. iron ore production 38,000 kt) suitable for periodic ranking refresh.",primary,Mineral Commodity Summaries 2026,content/topics/topic02_iron-steel/refs-sources/USGS_MCS_2026.pdf,USGS,2026,2026-02-15,"USGS reports 2025 world raw steel production at about 1,900 Mt (China about 980 Mt) and U.S. iron ore production at 38,000 kt usable ore (down from 45,100 kt in 2024).",high,Quantitative values are directly extracted from chapter tables with clear page anchors.,verified,"USGS MCS 2026 localized PDF, Iron and Steel (PDF p.107) and Iron Ore (PDF p.112); see reference_note_usgs_mcs_2026_iron_steel.md."
E-007,C-007,"REQ December 2025 quantifies Australia's iron ore export trajectory with volumes rising toward ~1,007 Mt by 2026-27 while earnings decline from A$116.4b (2024-25) to A$107.4b (2026-27) as prices soften.",primary,Resources and Energy Quarterly December 2025,content/topics/topic02_iron-steel/refs-sources/AU_REQ_DEC_2025.pdf,Australian Government (DISR),2025,2026-02-15,"REQ reports iron ore export earnings over 25% share of resource/energy exports; earnings move from A$116.4b (2024-25) to A$114.4b (2025-26) and A$107.4b (2026-27), while volumes trend to about 1,007 Mt by 2026-27.",high,Quantitative values and forecasts are explicit in the iron ore section and table pages.,verified,"REQ Dec 2025 localized PDF (PDF p.8, p.21-p.22, p.25); see reference_note_au_req_dec_2025_iron_steel.md."
E-008,C-008,"The 2023-2030 strategy explicitly targets resilient supply chains, sovereign processing capability, and six focus areas including enabling infrastructure/services and downstream capability, supporting Topic02 policy framing.",primary,Australia's Critical Minerals Strategy 2023-2030,content/topics/topic02_iron-steel/refs-sources/AU_CRITICAL_MINERALS_STRATEGY_2023_2030.html,Australian Government,2023,2026-02-15,"The strategy page lists objectives to build resilient supply chains and sovereign processing, and outlines six focus areas including enabling infrastructure/services and downstream capability growth.",high,Objectives and focus-area statements are directly visible in the localized strategy page content.,verified,"Critical Minerals Strategy localized HTML (lines ~2862-2874, ~3115, ~3182, ~3271-3274); extraction anchored in reference note."
E-009,C-009,Map-based project-location tools are required to move from portfolio ranking to hub-specific execution plans,primary,Australian Critical Minerals Map 2024,content/topics/topic02_iron-steel/refs-sources/AU_CRITICAL_MINERALS_MAP_2024.html,Geoscience Australia,2024,2026-02-15,Map and status layers support location-based screening and partner mapping workflows,high,Tool purpose and applicability are explicit and directly actionable for hub mapping,verified,Use in T4 hub mapping method.
E-010,C-010,"Topic02 confidence has improved for baseline demand and policy claims after quantitative extraction, while project-level pathway economics and partner mapping remain open work items.",secondary,Topic02 evidence baseline synthesis,content/topics/topic02_iron-steel/meta/evidence_register.csv,Internal synthesis,2026-02-15,2026-02-15,"After claim-level extraction for E-006 to E-008, residual uncertainty is concentrated in project economics and partner execution mapping rather than baseline commodity statistics.",high,Directly reflects completed extraction state in this evidence register.,verified,Updated self-audit after quantitative extraction pass on 2026-02-15.
