topic_id,topic_name,tier,ordinal_rank,export_signal,geopolitical_signal,readiness_signal,adjacency_signal,constraint_summary,core_or_watchlist,justification,confidence
CRM001,"Green iron exports (DRI, HBI, hot metal, ESF pathways)","Tier 1",1,very_high,very_high,high,very_high,"Firmed power, low-cost hydrogen, and long-term offtake",Core,"Largest export uplift with strong strategic leverage and existing ore dominance",high
CRM002,"Green aluminium (low-carbon alumina plus renewable-powered smelting, alloys)","Tier 1",2,very_high,high,high,very_high,"Power cost and grid reliability",Core,"Australia has strong bauxite and alumina adjacency with premium low-carbon upside",high
CRM003,"Copper upgrading (refining plus semi-fab: rod, wire, foil)","Tier 1",3,very_high,high,high,high,"Scale economics and reliable concentrate feed",Core,"Direct value uplift from concentrate exports into strategic copper products",high
CRM004,"Rare earth separation to oxides (NdPr, Dy, Tb)","Tier 1",4,high,very_high,medium,high,"Separation chemistry capability and qualification",Core,"High leverage in magnet supply chains with clear strategic demand",high
CRM011,"Permanent magnets (NdFeB): metals, alloys, magnet manufacturing","Tier 1",5,high,very_high,medium,high,"Qualification cycle and technology licensing",Core,"Captures more value than oxide exports and increases geopolitical relevance",medium
CRM012,"Battery-grade lithium chemicals (hydroxide, carbonate where viable)","Tier 1",6,high,high,high,very_high,"Cost competitiveness versus global converters",Core,"Builds downstream value on top of established spodumene position",high
CRM008,"Silicon metal at scale (metallurgical silicon)","Tier 1",7,high,high,medium,high,"Power intensity and offtake structure",Core,"Strategic intermediate feeding multiple export chains",medium
CRM010,"Graphite anode materials (purified spherical graphite, coated anode)","Tier 1",8,high,high,medium,high,"Purification route, qualification, and feedstock contracts",Core,"High-value battery bottleneck with credible regional demand",medium
CRM006,"Fertilisers and ag-inputs (potash, phosphate, finished fertilisers; low-carbon ammonia integration)","Tier 1",9,high,high,high,high,"Integrated reagent and ammonia economics",Core,"Exportable products with strategic food-system relevance",medium
CRM005,"Green chemical feedstocks at scale (ammonia, methanol)","Tier 1",10,high,high,medium,high,"Renewable energy cost and shipping economics",Core,"Large market depth and strong adjacency to hub development",medium
CRM009,"Manganese upgrading (battery and alloying chemicals, EMM and HPMSM pathways)","Tier 1",11,high,high,medium,high,"Process route selection and market qualification",Core,"Turns ore advantage into higher-value battery and alloy products",medium
CRM035,"Antimony (oxide and metal refining)","Tier 1",12,medium,very_high,medium,medium,"Feedstock security and environmental controls",Core,"Disproportionate strategic leverage due defence and industrial concentration risk",medium
CRM017,"High-purity alumina and specialty alumina products","Tier 1",13,high,high,medium,very_high,"Purity control and long qualification timelines",Core,"Strong alumina adjacency supports specialty export move",medium
CRM015,"Nickel and cobalt sulphates (battery-grade)","Tier 1",14,high,high,medium,high,"Volatile input pricing and quality control",Core,"Logical downstream step into battery precursor markets",medium
CRM014,"Cathode materials: pCAM and CAM","Tier 1",15,high,high,medium,high,"Qualification depth and customer concentration",Core,"High value-add opportunity where trusted supply is rewarded",medium
CRM016,"Vanadium chemicals and electrolyte for flow batteries and long-duration storage","Tier 1",16,medium,high,medium,medium,"Demand scale uncertainty and process economics",Core,"Strategic niche aligned with long-duration storage demand",medium
CRM039,"Selenium and tellurium recovery (copper refining byproducts)","Tier 1",17,medium,high,medium,high,"Recovery yields and refinery integration",Core,"Byproduct recovery improves copper chain value and resilience",medium
CRM036,"Gallium recovery and refining (byproduct-led strategy)","Tier 1",18,medium,very_high,medium,high,"Byproduct concentration and refining capability",Core,"High strategic significance with byproduct-led pathway",medium
CRM037,"Germanium recovery and refining (byproduct-led strategy)","Tier 2",19,medium,very_high,low,medium,"Feedstock concentration and small market scale",Core,"Strategically important for electronics though scale and readiness are lower",medium
CRM040,"Tungsten intermediates and powders (APT, metal powders)","Tier 2",20,medium,high,medium,medium,"Qualification and secure concentrate supply",Core,"High-value defence-linked material with feasible processing pathways",medium
CRM041,"Tin refining and solder-grade products","Tier 2",21,medium,high,medium,medium,"Feedstock certainty and cost competitiveness",Core,"Electronics relevance and practical refining pathway",medium
CRM013,"Lithium beyond hydroxide: lithium metal, electrolyte salts (LiPF6), specialty lithium chemicals","Tier 2",22,medium,high,low,high,"Technology transfer and strict quality control",Core,"High upside extension but lower near-term readiness",medium
CRM027,"Fluorine and phosphate reagent chains (explicit gating sub-platform)","Tier 2",23,medium,high,medium,high,"Integrated chemical platform and permitting",Core,"Critical gating inputs for battery and specialty value chains",medium
CRM026,"Industrial reagents platform (acids, caustic, soda ash, lime) tied to hubs","Tier 2",24,medium,medium,high,high,"Hub scale coordination and infrastructure siting",Core,"Cross-chain enabler that materially de-risks multiple anchors",high
CRM030,"Strategic logistics and certified supply ports (QA labs, blending, dedicated terminals, inventory)","Tier 2",25,medium,high,high,high,"Port capex and multi-party governance",Core,"Certified logistics can lock in trusted supplier advantage",high
CRM028,"Traceability, certification, MRV, and product passports (market access infrastructure)","Tier 2",26,medium,high,high,high,"Standards harmonisation and data governance",Core,"Market-access layer needed to capture low-carbon premiums",high
CRM031,"Mining services and EPC export (modular processing plants, commissioning, maintenance)","Tier 2",27,medium,medium,high,very_high,"Capability aggregation and global market access",Core,"Exportable services can scale faster than new mines or smelters",high
CRM034,"Industrial CCS hubs and CO2 transport and storage (protect export competitiveness)","Tier 2",28,medium,high,medium,high,"Transport and storage regulation plus economics",Core,"Defensive priority for maintaining competitiveness in hard-to-abate chains",medium
CRM029,"Green premium market infrastructure (offtake structuring, trading, price discovery, long-term contracting)","Tier 2",29,medium,medium,medium,high,"Buyer commitment and contract standardisation",Core,"Commercial architecture is required to monetise differentiated products",medium
CRM024,"Firmed clean power platform for industry (generation, transmission, storage, power quality)","Tier 2",30,medium,high,medium,very_high,"Transmission build pace and system reliability",Core,"Foundational enabler for almost all low-carbon processing pathways",high
CRM023,"Ore upgrading and beneficiation as a service (pelletisation, impurity removal, other ores)","Tier 2",31,medium,medium,high,high,"Project-by-project feed variability",Core,"Near-term value uplift through grade improvement and impurity management",high
CRM056,"Precision metallurgical testing, certification labs, and reference material production","Tier 2",32,medium,medium,high,high,"Talent depth and accreditation pathways",Core,"Build-now capability with broad leverage across the portfolio",high
CRM032,"Industrial control software and optimisation for processing and green metals (exportable capability)","Tier 2",33,medium,medium,medium,high,"Data access and integration with plant systems",Watchlist,"Scalable exportable capability but monetisation pathways vary by sector",medium
CRM025,"Hydrogen production and industrial clean energy inputs (primarily as enabler)","Tier 2",34,medium,medium,medium,high,"Delivered hydrogen cost and infrastructure sequence",Watchlist,"Important enabler but deployment timing differs by pathway",medium
CRM018,"High-purity silica and specialty quartz (PV, semiconductor supply chains)","Tier 2",35,medium,high,low,medium,"Resource quality and purification capex",Watchlist,"Strategic relevance is high but commercial readiness is mixed",medium
CRM021,"High-purity copper and specialty alloys (beyond basic rod and wire)","Tier 2",36,medium,medium,medium,high,"Qualification and consistent feed quality",Watchlist,"Attractive extension of copper chain with tighter quality barriers",medium
CRM022,"Defence-grade materials supply chains (qualified steels, armour inputs, magnets, Ti powders, qualified alloys)","Tier 2",37,medium,high,low,medium,"Qualification timelines and procurement cycles",Watchlist,"Strategic importance is high but market entry is slow",medium
CRM049,"Black mass import processing hub for Asia-Pacific","Tier 2",38,medium,medium,medium,medium,"Feedstock contracts and hazardous logistics",Watchlist,"Regional feedstock aggregation can create circular-processing scale",medium
CRM048,"Battery recycling and urban mining (domestic loop plus regional feedstock)","Tier 2",39,medium,medium,medium,medium,"Collection logistics and product qualification",Watchlist,"Strategic resilience play with moderate export upside when scaled",medium
CRM044,"Specialty phosphates and purified phosphoric acid (non-fertiliser grades)","Tier 2",40,medium,medium,medium,medium,"Purification economics and demand concentration",Watchlist,"Value-added extension of phosphate chain with selected high-value niches",medium
CRM043,"Specialty cobalt and nickel metal products (high-purity rounds, powders)","Tier 2",41,medium,high,low,medium,"Small markets and strict qualification",Watchlist,"Strategic specialty products with tighter route-to-market constraints",medium
CRM045,"Boron products and advanced borates (specialty chemicals)","Tier 2",42,low,medium,medium,medium,"Market depth and feedstock positioning",Watchlist,"Niche specialty opportunity with moderate strategic impact",medium
CRM047,"Advanced refractories and furnace consumables (green iron, copper, alumina enablement)","Tier 3",43,low,medium,medium,high,"Scale economics and technology lock-in",Watchlist,"Useful enabling product set but limited export leverage",medium
CRM046,"High-performance carbon materials (synthetic graphite, needle coke, carbon fibres)","Tier 3",44,medium,high,low,low,"High capex, process risk, and technology barriers",Watchlist,"Potentially valuable but high execution and competitiveness risk",low
CRM019,"Green polysilicon (solar-grade, wafers over time)","Tier 3",45,medium,high,low,medium,"Extreme power intensity and global competition",Watchlist,"Strategic fit exists but near-term readiness is limited",medium
