source_path,target_path,verification_mode
Literature-Review/WORKING_NOTE.md,Literature-Review/landscape-briefing/topic01_copper/working-note.md,hash
Literature-Review/WRITEUP.md,Literature-Review/landscape-briefing/topic01_copper/deep-dive.md,hash
Literature-Review/00_overview.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/00_overview.md,hash
Literature-Review/01_T1_demand-and-value-chain.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/01_T1_demand-and-value-chain.md,hash
Literature-Review/02_T2_processing-pathways.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/02_T2_processing-pathways.md,hash
Literature-Review/03_T3_science-101.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/03_T3_science-101.md,hash
Literature-Review/04_T4_research-and-collaboration-landscape.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/04_T4_research-and-collaboration-landscape.md,hash
Literature-Review/05_T5_policy-funding-programs.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/05_T5_policy-funding-programs.md,hash
Literature-Review/06_T6_evidence-quality-gaps-confidence.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/06_T6_evidence-quality-gaps-confidence.md,hash
Literature-Review/90_references-and-appendices.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/90_references-and-appendices.md,hash
Literature-Review/TOPIC_INDEX_AND_CROSSWALK.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/legacy/TOPIC_INDEX_AND_CROSSWALK.md,hash
Literature-Review/notes.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/legacy/notes.md,hash
Literature-Review/au_copper_value_chain_collaboration_register.csv,Literature-Review/landscape-briefing/topic01_copper/subtopics/legacy/au_copper_value_chain_collaboration_register.csv,hash
Literature-Review/quantitative_claim_audit.csv,Literature-Review/landscape-briefing/topic01_copper/subtopics/legacy/quantitative_claim_audit.csv,hash
Literature-Review/quantitative_claim_audit.md,Literature-Review/landscape-briefing/topic01_copper/subtopics/legacy/quantitative_claim_audit.md,hash
Literature-Review/.DS_Store,Literature-Review/landscape-briefing/topic01_copper/subtopics/legacy/.DS_Store,hash
Literature-Review/AEMO and Oxford Economics - 2025 - Australia Data Centre Energy Consumption Report.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/AEMO and Oxford Economics - 2025 - Australia Data Centre Energy Consumption Report.pdf,hash
Literature-Review/DISR - 2025 - Resources and Energy Quarterly December 2025.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/DISR - 2025 - Resources and Energy Quarterly December 2025.pdf,hash
Literature-Review/Dong et al. - 2020 - Comprehensive Recoveries of Selenium Copper Gold Silver and Lead from a Copper Anode Slime with a Clean and Economical Hydrometallurgical Process.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Dong et al. - 2020 - Comprehensive Recoveries of Selenium Copper Gold Silver and Lead from a Copper Anode Slime with a Clean and Economical Hydrometallurgical Process.pdf,hash
